taxon_source_id|taxon_source|citation
54|Lendemer and Hodkinson 2013|Lendemer, J.C., and B.P. Hodkinson. 2013. A radical shift in the taxonomy of <i>Lepraria</i> s.l.: Molecular and morphological studies shed new light on the evolution of asexuality and lichen growth form diversification. Mycologia. 105:994-1018.
55|Little et al. 2004|Little, D.P., A.E. Schwarzbach, R.P. Adams, and C.F. Hsieh. 2004. The circumscription and phylogenetic relationships of <i>Callitropsis</i> and the newly described genus <i>Xanthocyparis</i> (Cupressaceae). American Journal of Botany. 91:1872-1881.
56|Lowry et al. 2019|Lowry, D.B., J.M. Sobel, A.L. Angert, T.L. Ashman, R.L. Baker, B.K. Blackman, Y. Brandvain, K.J. Byers, A.M. Cooley, J.M. Coughlan, et al. 2019. The case for the continued use of the genus name <i>Mimulus</i> for all monkeyflowers. Taxon. 68:617-623.
57|Lücking et al. 2017|Lücking, R., B. Moncada, B. McCune, E. Farkas, B. Goffinet, D. Parker, J.L. Chaves, L. Lokös, P.R. Nelson, T. Spribille, et al. 2017. <i>Pseudocyphellaria crocata</i> (Ascomycota: Lobariaceae) in the Americas is revealed to be thirteen species, and none of them is <i>P. crocata</i>. The Bryologist. 120:441-500.
58|Manns and Anderberg 2009|Manns, U., and A.A. Anderberg. 2009. New combinations and names in <i>Lysimachia</i> (Myrsinaceae) for species of <i>Anagallis</i>, <i>Pelletiera</i>, and <i>Trientalis</i>. Willdenowia. 39:49-54.
59|McCune and Curtis 2012|McCune, B., and M.J. Curtis. 2012. <i>Umbilicaria semitensis</i> (lichenized fungi: Umbilicariaceae) resurrected. The Bryologist. 115:255-264.
60|McCune et al. 2018|McCune, B., U. Arup, O. Breuss, E. Di Meglio, J. Di Meglio, T.L. Esslinger, N. Magain, J. Miadlikowska, A.E. Miller, L. Muggia, et al. 2018. Biodiversity and ecology of lichens of Katmai and Lake Clark National Parks and Preserves, Alaska. Mycosphere. 9:859-930.
61|McIntosh et al. 2017|McIntosh, T.T., H.H. Blom, O.I. Kuznetsova, & E.A. Ignatova. 2017. <i>Schistidium relictum</i> (Grimmiaceae, Bryophyta), a new moss species from Northwest North America and Siberia. Phytotaxa. 299:234-235.
62|Moore and Dillenberger 2017|Moore, A.J., and M.S. Dillenberger. 2017. A conspectus of the genus <i>Cherleria</i> (<i>Minuartia</i> s.l., Caryophyllaceae). Willdenowia. 47:5-14.
63|Mosyakin 2013|Mosyakin, S.L. 2013. New nomenclatural combinations in <i>Blitum</i>, <i>Oxybasis</i>, <i>Chenopodiastrum</i>, and <i>Lipandra</i> (Chenopodiaceae). Phytoneuron. 2013-56:1-8.
64|Mosyakin 2016|Mosyakin, S.L. 2016. Nomenclatural notes on North American taxa of <i>Anemonastrum</i> and <i>Pulsatilla</i> (Ranunculaceae), with comments on the circumscription of <i>Anemone</i> and related genera. Phytoneuron. 2016-79:1-12.
65|Muggia et al. 2011|Muggia, L., P. Nelson, T. Wheeler, L.S. Yakovchenko, T. Tønsberg, and T. Spribille. 2011. Convergent evolution of a symbiotic duet: The case of the lichen genus <i>Polychidium</i> (Peltigerales, Ascomycota). American Journal of Botany. 98:1647-1656.
66|Murray 2015|Murray, D.F. 2015. Notes on <i>Eritrichium</i> (Boraginaceae) in North America II. Journal of the Botanical Research Institute of Texas. 9:311-315.
67|Murray 2017|Murray, D.F. 2017. Notes on <i>Eritrichium</i> (Boraginaceae) in North America III. Three new species of <i>Eritrichium</i>. Journal of the Botanical Research Institute of Texas. 11:19-23.
68|Murray and Elven 2015|Murray, D.F., and R. Elven. 2015. <i>Micranthes rufopilosa</i> (Saxifragaceae) comb. nov.: an alpine species from Alaska and Yukon. Journal of the Botanical Research Institute of Texas. 9:7-10.
69|Nelsen et al. 2013|Nelsen, M.P., A. Thell, S.D. Leavitt, C.J. Hampton-Miller, and H.T. Lumbsch. 2013. A reappraisal of <i>Masonhalea</i> (Parmeliaceae, Lecanorales) based on molecular and morphological data. The Lichenologist. 45:729-738.
70|none|NA
71|Ochyra and Afonina 2010|Ochyra, R., and O.M. Afonina. 2010. <i>Schistidium frahmianum</i> (Bryopsida, Grimmiacaea), a new arctic species from Beringia. Bryophyte Diversity and Evolution. 31:139-143.
72|Otálora et al. 2013|Otálora, M.A.G., M. Wedin, and P.M. Jørgensen. 2014. A revised generic classification of the jelly lichens, Collemataceae. Fungal Diversity. 64:275-293.
73|Panarctic Flora Checklist|Elven, R., D.F. Murray, V.Y. Razzhivin, and B.A. Jurtsev. 2011. Annotated Checklist of the Panarctic Flora Vascular Plants. Available: <a target='_blank' href='http://panarcticflora.org'>http://panarcticflora.org</a>
74|Pérez-Ortega and Spribille 2009|Pérez-Ortega, S., and T. Spribille. 2009. <i>Lepraria torii</i>, a new epiphytic species with fumarprotocetraric acid from northwest North America. Graphis Scripta. 21:36-41.
75|Persson 1962|Persson, H. 1962. Bryophytes from Alaska collected by E. Hultén and others. Svensk Botanisk Tidskrift. 56:2-35.
76|Pino-Bodas et al. 2012|Pino-Bodas, R., T. Ahti, S. Stenroos, M.P. Martín, and A.R. Burgaz. 2012. <i>Cladonia conista</i> and <i>C. humilis</i> are different species. Bibliotheca Lichenologic. 108:161-176.
77|Plášek et al. 2015|Plášek, V., J. Sawicki, R. Ochyra, M. Szczecinska, and T. Kulik. 2015. New taxonomical arrangement of the traditionally conceived genera <i>Orthotrichum</i> and <i>Ulota</i> (Orthotrichiaceae, Bryophyta). Acta Musei Silesiae, Scientiae Naturales. 64:169-174.
78|Pteridophyte Phylogeny Group 2016|Pteridophyte Phylogeny Group. 2016. A community-derived classification for extant lycophytes and ferns. Journal of Systematics and Evolution. 54:563-603.
79|Reznicek 2017|Reznicek, A.A. 2017. Key to Alaska Cyperaceae. University of Michigan Herbarium. Unpublished key.
80|Rodriguez Flakus and Printzen 2014|Rodriguez Flakus, P., and C. Printzen. 2014. <i>Palicella</i>, a new genus of lichenized fingu and its phylogenetic position within Lecanoraceae. The Lichenologist. 46:535-552.
81|Rolfsmeier 2013|Rolfsmeier, S.J. 2013. Taxonomy and phylogeny of the genus <i>Lappula</i> Moench (Boraginaceae) in North America. Ph.D. Dissertation. Kansas State University. Manhattan, Kansas. 188 pp.
82|Sawicki et al. 2010|Sawicki, J., V. Plášek, and M. Szczecinska. 2010. Molecular studies resolve <i>Nyholmiella</i> (Orthotrichaceae) as a separate genus. Journal of Systematics and Evolution. 48:183-194.
83|Schlesak et al. 2019|Schlesak, S., L. Hedenäs, M. Nebel, and D. Quandt. 2019. Addendum to <i>Hypnum subcomplanatum</i> Hedenäs, Schlesak, D. Quandt. Bryophyte Diversity and Evolution. 41:1-1.
84|Semple et al. 2016|Semple, J.C., Y. Ma, and L. Tong. 2016. On <i>Solidago simplex</i> (Asteraceae: Astereae): a multivariate study including <i>S. glutinosa</i>, <i>S. leiocarpa</i>, <i>S. multiradiata</i>, and <i>S. spathulata</i>. Phytoneuron. 2016-87:1-21.
85|Sennikov 2011|Sennikov, A.N. 2011. <i>Chamerion</i> or <i>Chamaenerion</i> (<i>Onagraceae</i>)? The old story in new words. Taxon. 60:1485-1488.
86|Sharples and Tripp 2019|Sharples, M.T., and E.A. Tripp. 2019. Phylogenetic Relationships Within and Delimitation of the Cosmopolitan Flowering Plant Genus <i>Stellaria</i> L. (Caryophyllaceae): Core Stars and Fallen Stars. Systematic Botany. 44:857-876.
87|Shaw et al. 2008|Shaw, A.J., R.E. Andrus, and B. Shaw. 2008. <i>Sphagnum beringiense</i> sp. nov. (Bryophyta) from Arctic Alaska, based on morphological and molecular data. Systematic Botany. 33:469-477.
88|Sheviak 2010|Sheviak, C. 2010. <i>Cypripedium parviflorum</i> in the Northwest, with the description of a new variety. The Native Orchid Conference Journal. 7:1-15.
89|Simon et al. 2018|Simon, A., T. Goward, J. Di Meglio, K. Dillman, T. Spribille, and B. Goffinet. 2018. <i>Sticta torii</i> sp. nov., a remarkable lichen of high conservation priority from northwestern North America. Graphis Scripta. 30:105-114.
90|Smith and Cranfill 2002|Smith, A.R., and R.B. Cranfill. 2002. Intrafamilial relationships of the Thelypteroid ferns (Thelypteridaceae). American Fern Journal. 92:131-149.
91|Soreng et al. 2003|Soreng, R.J., P.M. Peterson, G. Davidse, E.J. Judziewicz, F.O. Zuloaga, T.S. Filgueiras, and O. Morrone. 2003. Catalogue of New World Grasses (Poaceae): IV. Subfamily Pooideae. Contributions from the United States National Herbarium. 48:1-730.
92|Spribille and Björk 2008|Spribille, T., and C.R. Björk. 2008. New records and range extensions in the North American lignicolous lichen flora. Mycotaxon. 105:455-468.
93|Spribille et al. 2010|Spribille, T., S. Pérez-Ortega, T. Tønsberg, and D. Schirokauer. 2010. Lichens and lichenicolous fungi of the Klondike Gold Rush National Historic Park, Alaska, in a global biodiversity context. The Bryologist. 113:439-515.
94|Spribille et al. 2014a|Spribille, T., P. Resl, T. Ahti, S. Pérez-Ortega, T. Tønsberg, H. Mayrhofer, and H.T. Lumbsch. 2014. Molecular systematics of the wood-inhabiting, lichen-forming genus <i>Xylographa</i> (Baeomycetales, Ostropomycetidae) with eight new species. Symbolae Botanicae Upsaliensis. 37:1-87.
95|Spribille et al. 2014b|Spribille, T., T. Tønsberg, E. Stabentheiner, and L. Muggia. 2014. Reassessing evolutionary relationships in the filamentous cyanolichen genus <i>Spilonema</i> (Peltigerales, Lecanoromycetes). The Lichenologist. 46:373-388.
96|Stehn et al. 2013|Stehn, S.E., J.K. Walton, and C.A. Roland. 2013. A bryophyte species list for Denali National Park and Preserve, Alaska, with comments on several new and noteworthy records. Evansia. 30:31-45.
97|Stehn et al. 2015|Stehn, S.E., J.K. Walton, P.R. Nelson, C.J. Hampton-Miller, and C.A. Roland. 2015. A lichen species list for Denali National Park and Preserve, Alaska, with comments on several new and noteworthy records. Evansia. 32:195-215.
98|Stenroos et al. 2002|Stenroos, S., J. Hyvönen, L. Myllys, A. Thell, and T. Ahti. 2002. Phylogeny of the genus <i>Cladonia</i> s.lat. (Cladoniaceae, Ascomycetes) inferred from molecular, morphological, and chemical data. Cladistics. 18:237-278.
99|Stensvold and Farrar 2016|Stensvold, M.C., and D.R. Farrar. 2017. Genetic diversity in the worldwide <i>Botrychium lunaria</i> (Ophioglossaceae) complex, with new species and new combinations. Brittonia. 69:148-175.
100|Stensvold et al. 2002|Stensvold, M.C., D.R. Farrar, and C. Johnson-Groh. 2002. Two new species of moonworts (<i>Botrychium</i> subg. <i>Botrychium</i>) from Alaska. American Fern Journal. 92:150-160.
101|Stotler & Crandall-Stotler 2017|Stotler, R.E., and B. Crandall-Stotler. 2017. A synopsis of the liverwort flora of North America North of Mexico. Annals of the Missouri Botanical Garden. 102:574-709.
102|Svensson et al. 2017|Svensson, M., S. Ekman, J.T. Klepsland, A. Nordin, G. Thor, G. von Hirschheydt, F. Jonsson, T. Knutsson, M. Lif, T. Spribille, and M. Westberg. 2017. Taxonomic novelties and new records of Fennoscandian crustose lichens. MycoKeys. DOI: 10.3897/mycokeys.25.13375
103|Sylvester et al. 2020|Sylvester, S.P., P.M. Peterson, K. Romaschenko, W.J. Bravo-Pedraza, L.E. Cuta-Alarcon, and R.J. Soreng. 2020. New combinations and updated descriptions in <i>Podagrostis</i> (Agrostidinae, Poaceae) from the Neotropics and Mexico. PhytoKeys. 148:21-50.
104|Testo et al. 2016|Testo, W., A. Haines, and A.V. Gilman. 2016. <i>Huperzia continentalis</i> (Lycopodiaceae), a new species of gemmiferous firmoss separated from <i>Huperzia haleakalea</i>. Systematic Botany. 41:894-901.
105|Wagner and Grant 2002|Wagner, W.H., and J.R. Grant. 2002. <i>Botrychium alaskense</i>, a new moonwort from the interior of Alaska. American Fern Journal. 92:164-170.
106|Waterway et al. 2015|Waterway, M.J., et Global Carex Group. 2015. Making <i>Carex</i> monophyletic (Cyperaceae, tribe Cariceae): a new broader circumscription. Botanical Journal of the Linnean Society. 179:1-42.
107|Wefferling and Hoot 2017|Wefferling, K.M., and S.B. Hoot. 2017. Species circumscription of the <i>Caltha leptosepala</i> polyploid complex (Ranunculaceae) based on molecular and morphological data. Phytotaxa. 316:201-223.
108|Wei et al. 2017|Wei, X., I. Schmitt, B. Hodkinson, A. Flakus, M. Kukwa, P.K. Divakar, P.M. Kirika, J. Otte, A. Meiser, and H.T. Lumbsch. 2017. Circumscription of the genus <i>Lepra</i>, a recently resurrected genus to accommodate the "<i>Variolaria</i>"-group of <i>Pertusaria</i> sensu lato (Pertusariales, Ascomycota). PLoS ONE. 12:e0180284.
109|Wiegleb et al. 2017|Wiegleb, G., A.A. Bobrov, and J. Zalewska-Galosz. 2017. A taxonomic account of <i>Ranunculus</i> section <i>Batrachium</i> (Ranunculaceae). Phytotaxa. 319:1-55.
110|Zander and Eckel 2017|Zander, R.H., and P.M. Eckel. 2017. Notes on Pleuroweisieae (Pottiaceae, Bryophyta) in North America. Evansia. 34:61-64.
111|Zander and Hedderson 2016|Zander, R.H., and T.A. Hedderson. 2016. Re-evaluation of <i>Hymenostylium xanthocarpum</i> (Hook.) Brid., and <i>Ardeuma</i> R.H. Zander & Hedd., a new name for all other species of <i>Hymenostylium</i> (Pottiaceae, Bryophyta). Journal of Bryology. 38:295-301.
112|Zarrei et al. 2011|Zarrei, M., P. Wilkin, M.J. Ingrouille, and M.W. Chase. 2011. A revised infrageneric classification for <i>Gagea</i> Salisb. (Tulipeae; Liliaceae): insights from DNA sequence and morphological data. Phytotaxa. 15:44-56.
113|Zhao et al. 2015|Zhao, X., S.D. Leavitt, Z.T. Zhao, L.L. Zhang, U. Arup, M. Grube, S. Pérez-Ortega, C. Printzen, L. Sliwa, E. Kraichak, P.K. Divakar, A. Crespo, H.T. Lumbsch. 2015. Towards a revised generic classification of lecanoroid lichens (Lecanoraceae, Ascomycota) based on molecular, morphological and chemical evidence. Fungal Diversity. 78:293-304.
114|Zika and Tucker 2017|Zika, P.F., and G.C. Tucker. 2017. Variation in <i>Linnaea borealis</i> across North America and Greenland. Journal of the Botanical Research Institute of Texas. 11:67-79.
